,Game ID,White Rating,Black Rating,Opening ECO,Opening Ply,White Centi-pawn Loss,White's Number of Inaccuracies,White's Number of Mistakes,White's Number of Blunders,Black Centi-pawn Loss,Black's Number of Inaccuracies,Black's Number of Mistakes,Black's Number of Blunders,Winner
14289,l9xTYNjd,2499,2609,B12,7,52,4,3,7,63,5,3,9,White
14290,iiEsqbW4,2603,2504,C02,10,44,1,0,2,74,2,1,1,White
14291,5r9CMB8P,2413,2598,B15,6,29,5,1,1,12,5,0,0,Black
14292,E1HlKfpr,2432,2609,B12,5,21,3,1,0,37,5,2,0,White
14293,erUGmyx7,2611,2533,E62,14,9,3,0,0,9,3,0,0,Draw
14294,aFvodur1,1697,1315,C02,6,31,3,1,0,81,3,2,2,White
14295,NYDTw0tT,1325,1364,B01,6,48,4,1,1,36,0,1,1,Black
14296,1snzYisY,1540,1874,B00,2,48,6,1,3,66,3,1,4,White
14297,YaSRuynF,1269,1287,C62,6,28,1,0,0,122,0,2,1,White
14298,1ft7Csxa,2035,1977,A24,6,59,5,2,4,83,6,0,6,White
14299,2W6bVh8L,1983,1941,C65,9,132,0,3,8,106,3,1,5,Black
14300,VnOY0i5d,1988,2017,C96,22,65,8,1,7,48,6,4,3,Black
14301,L6NWeRkn,2011,1994,C65,6,22,2,0,1,39,1,1,2,White
14302,SSkibNen,1312,1651,D20,5,171,0,1,2,85,1,0,2,Black
14303,Hm36ohAK,1831,1892,A20,2,77,1,1,3,119,3,1,5,White
14304,6p8ttJYT,1790,1823,C50,5,53,0,2,1,87,5,5,1,White
14305,McWbVjqR,1867,1822,A80,3,43,4,3,1,65,5,7,1,White
14306,emRMsKeD,1794,1825,C23,4,44,3,0,1,80,5,1,2,White
14307,byS4JLd8,1992,1778,C34,5,72,6,2,3,36,1,3,1,Black
14308,svEqWh0v,1712,1703,A40,2,77,6,4,2,54,6,1,1,Black
14309,v9OB2vwR,2038,2039,A04,2,43,2,0,1,89,2,0,3,White
14310,Zfx9O1Lu,2007,1690,C40,4,38,3,4,2,57,6,4,4,White
14311,kxpEBJVf,1654,2004,C44,5,63,3,2,3,45,2,2,1,Black
14312,H15Rvqwt,1722,1855,B21,5,75,6,3,1,50,2,1,1,Black
14313,sXfcOqit,1779,1833,C13,9,57,2,1,1,8,0,0,0,Black
14314,3B1epLU7,1824,1788,D30,4,7,0,0,0,45,3,2,0,White
14315,WHlgyJ0I,1798,1814,C13,9,43,1,1,1,11,1,0,0,Black
14316,QXxQ21ye,1825,1787,D43,8,52,3,3,1,28,3,1,1,Black
14317,O9FHIMBI,1775,1838,C13,9,23,2,0,0,78,1,1,1,White
14318,PMmGAV2O,1829,1784,D45,9,30,4,2,1,66,4,4,1,White
14319,0vBIROal,1793,1819,C13,9,62,5,4,2,40,2,2,1,Black
14320,dPqWwIfK,1535,1452,A40,2,12,2,1,0,29,2,2,1,White
14321,OB4VzChM,1531,1616,D00,3,46,5,1,3,60,11,2,2,White
14322,UzT837oE,1434,1522,D45,9,139,2,0,5,104,2,0,4,Black
14323,0rFsXaNV,1526,1799,D00,3,124,4,2,9,104,4,3,5,Black
14324,gO8vPsDR,1546,1692,D00,3,48,5,2,5,46,11,3,1,Black
14325,hmRjv5F8,2260,2297,B15,10,21,1,0,1,59,3,0,1,White
14326,NaeRJh23,2306,2213,A45,2,29,3,0,1,72,0,4,2,White
14327,8aob59CR,1889,1319,C60,6,4,2,0,0,39,3,1,1,White
14328,ekFhAunD,1348,1878,B15,7,47,3,0,1,10,1,0,0,Black
14329,NNE08MT2,1863,1395,C55,7,67,3,0,4,90,0,3,5,White
14330,ZOLQQAXa,1500,1839,B10,2,96,2,0,4,57,3,0,2,Black
14331,r2EuYvQZ,1995,1991,A80,2,108,9,4,5,131,4,0,10,Black
14332,NxFkM0OG,2203,2237,B30,5,53,6,4,3,41,7,1,2,Black
14333,M3lTq2bI,2195,2176,B10,5,41,6,2,3,41,5,1,3,Draw
14334,Vq8Hg8LH,2251,2200,C80,10,24,0,0,0,51,3,0,1,White
14335,doLRUP7R,2034,2073,C24,5,25,3,2,3,24,3,2,2,Draw
14336,xIazOTVz,1584,1503,C41,5,41,1,2,0,67,4,2,1,White
14337,Nne0aTfz,1173,1543,C69,10,34,1,1,1,40,3,0,2,White
14338,7qaOgqJV,1543,1173,C00,2,72,3,0,1,23,0,0,0,Black
14339,Au06iyJK,1560,1531,A50,4,65,7,0,1,22,3,1,0,Black
14340,htBA2Ad2,1755,1516,D02,4,54,3,2,2,24,4,0,0,Black
14341,g6IDFMVY,1714,1501,C36,7,67,4,0,1,32,1,1,0,Black
14342,YFoRwcKh,1412,1492,C34,6,113,3,0,4,55,3,0,1,Black
14343,DSZv4TwM,1474,1718,B52,6,19,3,0,0,29,0,0,1,White
14344,zOQnOW5W,1342,1301,A00,1,86,3,2,2,131,2,2,4,White
14345,jS8x5fCk,1563,1553,A40,2,27,1,0,1,64,3,1,2,White
14346,lKHXaYEi,1800,1795,A00,1,99,1,1,2,55,2,1,0,Black
14347,DPGsVECv,1798,1554,A00,1,72,5,2,4,104,2,3,6,White
14348,Ko7dGrIV,1689,1744,C20,3,28,2,0,0,40,2,1,0,Black
14349,kpE2ossB,1662,1705,A41,4,52,6,0,1,69,3,1,1,White
14350,mv6WNgNE,1766,1692,A41,4,70,6,3,4,38,5,1,1,Black
14351,Lo9iUF1w,1500,1696,C00,2,46,5,0,1,2,4,0,0,Black
14352,Qf4BFK36,1765,1861,A00,1,59,5,0,2,33,4,0,1,Black
14353,5R9f2Zl1,1946,1776,B30,5,16,1,0,0,56,1,0,2,White
14354,6GkiWF7s,1763,1887,A00,1,74,6,5,1,104,3,3,3,White
14355,4QtO502f,1490,1517,A45,2,63,5,0,4,97,2,1,5,White
14356,PQ5kX5yQ,1443,1493,B23,4,108,1,2,3,82,3,0,2,Black
14357,gZ7pQu9E,1941,1886,C36,7,134,6,5,8,152,8,2,10,White
14358,bKyirOuD,1958,1941,C37,9,96,2,5,2,44,2,1,0,Black
14359,5PYyliy3,1885,2123,D00,5,81,6,2,5,58,5,2,4,Black
14360,JPtQZrdG,2070,1888,B10,3,12,3,0,0,50,4,2,1,White
14361,OEby3l6x,2076,1888,B00,3,40,4,1,2,57,7,3,1,Black
14362,CnZO9q3a,1868,2035,E70,9,74,5,2,0,37,3,0,0,Black
14363,oDKaowvi,1901,2020,C02,7,60,3,0,3,36,2,1,1,Black
14364,iLlXRizN,1504,1513,C23,3,68,8,1,1,29,2,0,1,Black
14365,SW3wKj78,2040,2129,D00,3,48,6,1,0,68,7,4,1,White
14366,ylWUbWpE,2123,2033,B12,7,32,4,0,1,64,1,2,2,White
14367,0MnXqrsS,2122,2284,B90,10,36,3,0,1,9,0,0,0,Black
14368,IIO4N89W,1334,1302,C49,8,18,0,0,0,44,6,1,1,White
14369,q5SUOm9W,1122,1387,B00,3,129,4,3,4,152,5,2,5,White
14370,3EmTqWur,1219,1237,B00,4,32,1,2,1,19,3,0,0,Black
14371,FZ6J5DVk,1231,1136,C51,18,30,3,0,1,74,4,1,1,White
14372,bS1WGqtq,1224,1203,B01,4,27,1,1,0,66,2,1,3,White
14373,wfybQQyW,1120,1218,B07,5,64,1,1,1,120,1,0,1,Black
14374,HQ7Gf5aa,1207,1318,C57,11,27,1,0,1,112,1,0,1,White
14375,A9iBh9QL,1203,1237,C41,6,181,5,1,5,144,7,1,3,Black
14376,F2jr2VqH,1238,1211,C22,7,37,5,0,4,53,3,0,6,White
14377,B2M4DCME,1850,1896,B20,3,52,10,3,2,35,7,3,0,Black
14378,0PYB9yDL,1903,1606,D00,3,24,6,0,2,23,2,1,4,Draw
14379,s8nXtbFH,2012,2116,D08,8,70,3,3,5,92,6,2,5,White
14380,cI79epcE,2040,1898,B00,2,13,0,0,0,67,2,1,1,White
14381,VG8Tflw9,1897,2010,A04,2,55,5,1,1,17,3,0,0,Black
14382,tKDmlFLQ,1904,1641,A13,4,42,2,0,1,19,2,1,0,Black
14383,3Hl3r0dr,1869,1949,A50,3,63,1,1,2,59,0,2,1,White
14384,Kj1mL5Ww,2049,2501,E11,8,44,2,1,3,27,7,1,1,Black
14385,FO4kUxA6,1599,1547,A40,2,36,2,0,2,68,4,1,3,White
14386,cBukl5pM,1286,1247,B00,2,80,5,1,3,110,5,1,4,White
14387,KHY4ZDT4,1179,1281,D00,3,57,8,2,0,16,4,1,0,Black
14388,sOsed8HI,1411,1302,C26,4,42,1,0,0,76,0,0,2,White
14389,YLH7Zv4I,1426,1387,C62,6,78,2,0,2,32,3,2,0,Black
14390,enBXU9Bc,1918,1967,C42,5,46,2,1,1,114,1,3,2,White
14391,umGeBt4g,1742,1983,B07,7,34,5,0,3,24,4,0,1,White
14392,hsNChmfz,1999,1797,C00,5,122,2,0,4,102,0,1,4,Black
14393,XkRSZsaC,1991,1909,B41,9,18,1,0,0,36,2,0,1,White
14394,bVhNedH9,1945,1935,B08,8,46,4,2,3,44,5,2,3,White
14395,MDi7jS4N,1965,1943,C20,3,20,5,1,0,20,2,0,1,Draw
14396,ChvLPO80,1986,1968,E21,7,37,2,0,1,79,5,1,1,White
14397,BPcw5RDz,1964,1885,C55,11,89,5,0,3,80,2,1,4,Draw
14398,GmrFTZWX,1558,1354,C50,6,27,0,0,1,56,1,1,2,White
14399,Emt7bGSc,1109,1294,C40,5,107,3,3,5,119,4,3,6,White
14400,EJglFVFi,1134,1195,B23,3,54,4,1,2,27,5,2,0,Black
14401,tvyQEYno,1462,1491,C46,7,50,7,8,2,50,7,2,6,Black
14402,g9o01UlA,1520,1426,D24,7,73,5,0,4,110,5,3,4,White
14403,J4PhNOby,1859,2025,B01,6,21,1,1,1,16,0,0,1,Black
14404,8gzP5rf3,1991,1989,E10,6,50,3,1,1,79,6,4,1,White
14405,G8moDnjM,2026,1921,D06,4,14,2,1,0,13,1,1,0,Draw
14406,3t78UrEV,1969,1952,A46,5,69,6,2,2,58,4,4,3,Black
14407,TT8wtIWs,1317,1304,A40,2,50,3,1,2,75,3,1,3,White
14408,cW60wB7s,1306,1308,C44,6,27,0,1,1,70,4,1,1,White
14409,uprXIt0w,1070,1152,D00,3,14,0,0,0,27,1,0,0,Black
14410,nIoQttsG,1958,1917,B42,9,69,4,2,3,57,6,3,1,Black
14411,WMSG0oAp,1898,1977,C63,6,27,11,1,2,39,11,1,5,Draw
14412,vvDkwS4u,1905,2030,B00,4,92,8,3,4,68,5,8,1,Black
14413,E2CDd28a,1895,1862,C61,6,10,1,0,0,38,3,0,1,White
14414,XqShN8gA,1664,1890,B20,3,49,9,2,0,21,3,0,0,Black
14415,jL1lGejB,1806,1882,B21,3,41,5,2,2,55,9,3,1,Black
14416,PE5rkFAr,1672,1767,A40,2,91,4,1,2,60,2,1,1,Black
14417,dqdRAoO8,1759,1774,C46,5,67,7,2,0,81,7,4,2,White
14418,jQQMJZhU,1506,1761,A00,1,93,3,2,7,109,4,5,9,Black
14419,Siq9jVNM,1947,1913,B90,11,93,2,1,5,51,1,3,2,Black
14420,K4CzQSaB,1798,2148,D43,8,66,0,3,2,92,4,1,1,White
14421,EJU5JHmE,1775,1862,A42,7,69,3,7,5,79,12,2,5,White
14422,LFhxFeaY,1719,1686,D30,8,68,4,0,2,41,0,1,1,Black
14423,CM4feS4h,1676,1669,D30,6,69,3,3,4,94,2,3,6,White
14424,QZ4ZyXUF,1684,1665,C00,3,119,2,2,1,34,2,1,0,Black
14425,XfZUzGZb,1687,1644,D37,8,89,6,0,2,53,1,1,2,Black
14426,MeRX7GD2,1680,1676,C00,3,147,4,1,3,75,1,2,2,Black
14427,6BtwriY8,1623,1666,C00,2,97,2,0,2,29,0,0,1,Black
14428,5UID3k3q,1691,1676,C00,5,51,5,1,1,103,2,2,4,White
14429,Xq9RIIn8,1798,1795,C46,7,122,1,0,6,85,1,1,3,Black
14430,wfam47Wu,1792,1769,C55,7,24,0,1,0,80,4,0,2,White
14431,LVndPvCJ,1110,1231,B10,3,43,6,3,4,59,6,1,5,White
14432,PS8XEs3p,1223,1378,A56,4,87,4,1,2,42,7,0,0,Black
14433,bMPWwTI5,1495,1228,B10,2,39,2,4,0,80,3,0,4,White
14434,gcID0Isf,1238,1169,A00,3,90,3,3,3,53,3,1,1,Black
14435,axqPTUxs,1246,1178,C00,2,94,6,2,4,119,4,2,6,White
14436,qqRJWBYX,1312,1195,A00,3,58,4,0,3,82,5,3,4,White
14437,oOyGMPOY,1191,1177,D30,4,97,7,4,3,81,8,0,6,Black
14438,a94CIBnK,1113,1197,A00,3,35,3,0,0,64,4,0,1,White
14439,GvGiq9JF,1455,1478,A35,4,61,1,2,1,107,2,0,5,White
14440,Jt1mfCCC,1373,1315,C23,3,37,5,0,1,69,5,1,3,White
14441,b5OjYF0i,1334,1336,A40,2,30,1,0,1,123,2,0,1,White
14442,bz7muccu,2023,2021,C62,6,100,1,1,2,54,3,0,1,Black
14443,sUahD7CX,1599,1431,B06,4,53,5,0,0,85,6,1,1,White
14444,ZfgayA6v,1378,1547,A40,2,12,2,0,0,52,2,1,2,White
14445,tm6j2KSC,1555,1428,A00,5,77,2,1,1,25,2,0,1,Black
14446,2a9g5o08,2056,2118,A71,15,68,2,0,4,29,2,0,1,Black
14447,MA4UOdBY,2070,2065,B33,8,41,4,0,1,70,1,0,2,White
14448,iMs8kPHw,2055,2053,D20,6,101,3,5,4,133,6,5,5,White
14449,qJwxz148,2078,2055,A40,4,129,6,1,9,103,3,2,8,Black
14450,7jl09SBm,2076,2072,A46,7,41,10,0,6,41,8,0,6,Black
14451,BU4Bdfq9,2035,2066,A00,4,51,8,2,5,67,10,0,5,Black
14452,IRK59rTY,2077,2080,B21,6,44,4,3,1,33,3,1,1,Black
14453,tH5f57zV,2064,2064,B23,5,35,2,0,1,17,2,1,0,Black
14454,kkomrYRm,1305,1204,A05,2,78,1,1,2,21,2,0,0,Black
14455,1EEC4Epi,1281,1159,C50,8,42,4,1,0,12,0,0,0,Black
14456,AkAV3hrG,1409,1757,C40,4,99,0,3,3,51,1,0,2,Black
14457,zZN0UKNN,1745,1413,C23,3,48,1,3,1,79,8,1,1,White
14458,v2R3BkwV,1542,1724,B10,3,59,4,2,1,23,1,0,0,Black
14459,EPs01h0V,1708,1534,B12,7,23,3,2,0,76,2,0,1,White
14460,s4gNANkk,1698,1701,C41,4,46,0,1,1,85,2,0,3,White
14461,k2hxVd8K,1718,1701,A40,1,41,5,3,2,22,3,1,2,Black
14462,3q2PPmPF,2058,1975,C55,6,125,6,2,5,106,2,3,8,Black
14463,8NY8CFke,2053,1980,C42,8,27,0,0,0,64,1,2,0,White
14464,F86AuoaJ,1991,2044,A45,2,187,2,1,3,128,1,3,1,Black
14465,9uqImjR8,2000,1990,D31,8,35,9,1,3,52,10,2,3,White
14466,lwWScBjX,1983,2048,D00,3,29,5,1,0,47,7,3,0,White
14467,C6w5VApn,1921,1926,C41,4,36,3,1,1,95,2,0,3,White
14468,kkf4dkzB,1863,2055,C61,6,35,3,0,0,8,0,0,0,Black
