,Game ID,White Rating,Black Rating,Opening ECO,Opening Ply,White Centi-pawn Loss,White's Number of Inaccuracies,White's Number of Mistakes,White's Number of Blunders,Black Centi-pawn Loss,Black's Number of Inaccuracies,Black's Number of Mistakes,Black's Number of Blunders,Winner
4946,ghILSW71,1473,1395,A36,5,18,2,0,1,37,1,3,2,White
4947,Ngu1c8Mg,1492,1444,B00,2,38,1,0,2,67,4,1,3,White
4948,tCWDKKtu,1456,1475,B01,4,56,2,0,2,90,2,2,2,White
4949,TOGqVkUN,1483,1411,C41,5,87,2,0,3,67,3,1,2,Black
4950,7aIqckN9,1448,1464,B20,3,106,3,4,4,75,2,5,3,Black
4951,7FmUJQTl,1502,1388,A03,3,85,1,1,2,124,3,0,3,Black
4952,vhKwnW86,1432,1460,B00,6,63,1,2,3,61,5,0,2,Black
4953,xCpTxnuP,2039,2163,E16,12,31,3,2,2,31,12,3,1,Draw
4954,RTM0NRyS,2048,2154,A40,4,67,2,4,4,65,2,1,5,Black
4955,xW1HS8mE,2197,2133,C00,5,24,4,0,0,90,2,1,1,White
4956,Z2f2SDQN,2074,2137,B76,16,123,3,0,6,97,7,1,4,Black
4957,PzNtLl89,2125,2059,D94,9,73,2,2,2,50,4,1,2,Black
4958,SbPTrPfB,1325,1342,A40,2,44,3,0,1,14,1,1,0,Black
4959,KoR7T1Zu,1904,1892,C42,9,24,2,1,0,99,3,1,2,White
4960,xS7vDaJF,1810,1855,A45,8,103,6,3,4,65,8,2,2,Black
4961,fAHcW5GV,1829,1800,C44,5,56,5,1,3,84,5,2,5,White
4962,L506ISxh,1749,1806,B12,6,130,3,1,4,91,4,2,4,Black
4963,SItnLsWx,1803,1835,B30,4,94,3,4,8,73,6,4,4,Black
4964,E6OVSMd2,1318,1609,C00,3,150,4,3,5,126,2,2,4,Black
4965,wHscN1CC,1500,1306,D06,3,36,3,0,0,65,4,0,1,White
4966,WFsMTXFv,2022,1976,C69,12,58,3,3,3,38,4,2,1,Black
4967,DtZPbUb7,2019,1945,B02,4,73,5,1,1,53,3,0,0,Black
4968,uGE9qrDb,1873,1890,C02,8,20,0,1,0,57,3,2,1,White
4969,cL4gn9ky,1803,1907,D25,7,106,1,0,5,154,3,0,3,White
4970,AbbAlXsb,1357,1289,C25,3,164,2,0,1,52,0,1,1,Black
4971,qxYcXi9o,1831,1707,A05,4,56,1,2,1,20,2,0,0,Black
4972,ua8lARwL,1686,1697,B00,2,44,7,1,1,15,3,0,0,Black
4973,D9vtX3w9,1609,2109,D43,8,15,1,0,0,37,3,3,1,White
4974,cFSiktZh,1562,1584,B50,4,54,4,1,1,11,0,0,0,Black
4975,6rgxdZ7y,1799,1601,B12,7,29,3,0,0,18,1,0,0,White
4976,oMVmf7tT,1549,1317,C20,3,85,4,1,6,115,4,1,9,White
4977,iIPKUxsz,1977,1976,B12,7,37,3,3,1,18,3,0,0,Black
4978,Pueh6unC,2009,1967,D02,5,38,1,2,2,79,8,2,1,White
4979,FUXrl1Xi,1826,1929,A43,2,58,2,1,1,57,6,1,1,Draw
4980,Obao7ofF,1815,1814,D20,4,38,2,0,1,88,4,2,2,White
4981,zwH29gOd,1463,1100,C20,3,48,4,2,0,66,3,4,1,Black
4982,ERHMZVdo,1620,1459,C41,7,14,4,0,0,34,7,1,1,White
4983,EcTanlcw,1559,1446,C41,4,56,6,1,2,24,2,0,1,Black
4984,HNTvQn2P,1894,1904,C44,8,33,4,0,0,60,5,4,0,White
4985,0SVK56hc,1818,1834,B40,8,14,1,0,0,48,1,0,1,Black
4986,U5hrPFD4,1845,1899,C20,3,79,7,2,4,53,5,2,1,Black
4987,quoPJd7z,1868,1889,B84,12,66,6,2,1,44,2,3,0,Black
4988,5OsqFnfM,1965,1874,B24,8,77,3,4,6,97,4,3,9,White
4989,Y5kPyhuu,1985,1870,D35,7,113,7,1,2,80,5,2,2,Black
4990,O5YOGdXp,1933,1835,B30,4,82,16,4,5,78,9,3,6,Draw
4991,VLjkPVIh,1808,1804,C50,6,44,2,0,2,66,5,1,3,White
4992,tPoWSvhy,1826,1948,B10,4,61,3,0,1,9,0,0,0,Black
4993,NN2955Dh,2115,2065,C00,3,41,5,3,0,21,4,0,0,Black
4994,wHgrASO9,2051,2127,D43,8,15,1,0,0,36,2,0,1,White
4995,BbSWCxIt,2040,2020,E53,12,5,0,0,0,29,3,0,1,White
4996,MSW5jfCd,2049,2028,C00,3,37,1,3,0,13,1,0,0,Black
4997,wwTqz48K,1985,2018,C05,6,50,1,1,1,9,0,0,0,Black
4998,d8BA0VW9,1416,1447,B70,10,164,3,4,4,117,3,0,5,Black
4999,Z93nGhlD,1460,1361,B00,4,21,2,0,0,48,7,1,2,White
5000,G8YxWVQY,1094,1367,B12,3,56,2,0,1,28,3,0,0,Black
5001,TA0CbfSb,1380,1426,A30,2,87,4,2,4,47,1,2,2,Black
5002,MIpewI4t,1429,1438,B20,3,65,5,2,2,37,2,1,1,Black
5003,OyCIw3qm,1500,1553,D00,3,87,3,3,7,102,6,3,7,White
5004,b9NSzvnP,1580,1596,A06,3,78,2,4,7,57,3,3,5,Black
5005,dosJguGU,1567,1558,A41,2,49,1,3,2,64,6,2,3,White
5006,QPqyalXU,1569,1532,B01,6,66,3,2,3,36,3,0,2,Black
5007,4VZLi2Yj,1545,1566,C40,4,150,0,1,5,201,1,1,6,White
5008,hyB58plH,1514,1654,B00,4,214,5,3,11,237,7,0,12,White
5009,SwZW02ah,2167,1933,B01,2,56,4,2,0,11,0,0,0,Black
5010,WydLm7t8,1673,2167,C00,3,26,2,0,2,4,0,0,0,Black
5011,Y2gNEfhT,2167,1673,C45,11,13,1,0,0,38,2,0,2,White
5012,NSqQxIsM,2143,2352,C69,9,10,0,0,0,53,2,2,1,White
5013,PkjeVLCq,2346,2149,C78,10,16,2,0,0,38,6,0,2,White
5014,XnCH8d5P,2147,1719,B30,4,11,0,0,0,49,2,0,1,White
5015,rD2eD9N1,2130,2303,C69,12,15,1,1,0,35,5,1,2,White
5016,XqVW4Uyx,2067,2092,C20,3,66,5,0,1,13,0,0,0,Black
5017,KX6zoyog,1407,1419,C25,3,82,4,1,3,55,3,0,2,Black
5018,tsETJnET,2197,2266,C43,6,43,3,1,2,80,2,1,3,White
5019,wcW6RfnQ,2201,2226,C41,5,29,2,1,1,32,1,0,1,Black
5020,97GST9RA,2203,2500,B00,2,54,4,1,1,22,4,0,0,Black
5021,N7W5hAxk,2223,2199,C50,8,80,1,2,4,40,1,1,3,Black
5022,QuaiRxjW,2202,2413,B15,10,73,2,0,2,32,0,2,0,Black
5023,pb1vvW0l,2408,2433,A58,9,24,2,1,1,50,4,1,1,White
5024,UoTU9G1Q,2287,2403,A13,2,95,2,0,7,72,6,0,5,Black
5025,VxpwbYH0,2516,2408,C24,7,29,1,0,2,65,2,1,2,White
5026,kkCiMVRo,2399,2484,C02,11,40,6,2,3,43,1,2,5,Draw
5027,XnwRbF8l,2389,2328,C02,11,21,3,0,0,47,3,1,1,White
5028,bHE733Oi,2284,2380,A42,7,98,7,1,2,59,4,0,0,Black
5029,Wwhr6dgM,1631,1727,C41,5,33,4,2,0,70,3,2,2,White
5030,XBZX1S4X,1769,1625,B21,5,137,5,1,5,136,4,1,4,Draw
5031,EtGyDXnd,1610,1576,C65,6,33,3,1,1,73,3,0,2,White
5032,g8yi8E3s,1577,1629,B30,4,94,5,2,6,123,5,2,5,White
5033,ib6pCdMA,1829,1601,B32,8,65,1,1,1,18,1,0,0,Black
5034,MizSxTmC,2001,1607,B22,3,69,4,0,2,87,1,1,3,White
5035,IDmGfJ2r,1952,1611,B30,4,22,2,1,0,45,2,0,2,White
5036,VRyZuUuO,1893,1725,A00,1,42,6,0,2,49,4,0,2,White
5037,vLpy9MLx,1702,1781,B90,11,38,4,2,2,23,1,1,1,Black
5038,g2Ay494g,1782,1792,D37,7,22,2,1,1,25,3,0,1,White
5039,O0OBA96e,2215,2191,D11,8,14,2,0,0,31,5,2,0,White
5040,XryQwipq,2215,2147,B30,4,4,0,0,0,43,7,0,0,White
5041,1tXeLMK6,1803,2215,E14,7,30,5,0,0,10,0,0,0,Black
5042,HpBrr0uW,2200,1810,C66,8,9,0,0,0,46,3,0,1,White
5043,w5In6nw7,2189,2167,E20,6,31,1,0,1,9,0,0,0,Black
5044,oO4vgx0K,2003,2098,C35,6,48,6,2,0,7,1,0,0,Black
5045,WA3geX5R,1124,1118,C55,6,74,5,2,1,46,5,1,2,Black
5046,WnyvAXxZ,1762,1803,B40,4,17,2,0,0,49,3,2,1,White
5047,N7P3A1AJ,1725,1752,A50,4,47,6,0,1,24,1,1,0,Black
5048,5QrdVquO,1843,1761,A45,2,56,6,2,2,27,2,1,1,Black
5049,HbD51qqm,1339,1243,C46,7,65,7,1,1,36,1,1,1,Black
5050,klvM6cXW,1339,1328,C20,3,108,3,4,6,81,2,4,6,Black
5051,ygAubUXl,1303,1281,C50,5,92,9,1,3,118,11,1,4,White
5052,NF1irWVq,1295,1181,C41,5,20,4,0,0,64,5,0,1,White
5053,Bx6mnEh6,1637,1212,C24,4,40,6,2,1,70,3,4,3,White
5054,VnjTKvZ1,1569,1627,B06,2,144,1,0,11,109,2,0,5,Black
5055,Mne46eq9,1555,1627,B00,2,64,4,0,1,31,3,1,0,Black
5056,zN7rvQS2,2132,1971,C20,2,25,2,0,0,76,1,2,2,White
5057,liBu45vs,1962,2142,B27,4,16,1,0,0,41,3,1,0,White
5058,62uSdSM3,1972,2259,B02,3,57,2,2,2,18,1,0,0,Black
5059,bUhCuQ4d,1333,1369,C44,5,91,1,1,2,57,4,1,1,Black
5060,7mbYNCt3,1496,1516,A45,2,47,2,3,1,87,2,0,5,White
5061,Un8Qoui4,1553,1507,A45,2,30,1,0,0,56,1,0,1,Black
5062,I4C9vLuE,1489,1506,C02,7,69,5,2,0,32,3,0,0,Black
5063,l33LvAGO,1320,1400,C00,3,90,6,2,3,62,4,2,2,Black
5064,Cfuc09vC,1938,1979,A45,2,72,2,1,2,52,4,1,2,Black
5065,dgne1313,1916,1908,D05,6,73,10,1,7,59,6,2,7,Black
5066,gsJuCN3Q,1918,1787,D00,3,110,5,2,9,108,3,0,10,Draw
5067,bEciEORu,1823,1913,A43,5,78,5,3,2,48,3,3,1,Black
5068,ycuUvasn,1909,1986,D00,3,63,3,0,4,84,3,3,4,White
5069,O2P9rHFA,1974,1897,C00,4,83,2,1,2,32,2,0,1,Black
5070,oGwv2757,2229,1910,A45,2,121,8,3,7,100,8,1,4,Black
5071,9uaoSswJ,1926,1718,C44,6,95,5,1,2,52,1,1,0,Black
5072,h0j8UzVP,1569,1411,C21,5,145,6,2,6,176,3,4,8,White
5073,IQwUQfAr,2477,2249,B10,2,34,2,0,1,18,0,0,0,Black
5074,w13tN1mq,2048,2473,A04,2,112,6,3,4,78,7,0,4,Black
5075,tMtd35Jl,2470,2007,B30,4,15,0,0,0,159,1,0,2,White
5076,viosXwvV,2467,2010,A06,3,44,2,0,2,18,2,0,1,White
5077,JNTODeZn,2377,2492,D06,4,14,3,0,1,29,2,1,2,White
5078,aDElfFEE,2528,2065,B40,5,40,6,3,3,57,4,3,3,Black
5079,F1fIAKoK,2043,2526,C40,4,62,9,4,1,37,7,0,1,Black
5080,T8moUsx1,2526,1216,C45,8,18,4,0,0,38,7,0,2,White
5081,qMNaSCBS,2154,2521,C40,9,87,2,0,3,58,4,1,2,Black
5082,jneg6pbL,1783,1582,C42,5,120,2,0,1,31,2,0,1,Black
5083,54IRJUaA,1889,1857,A45,2,31,5,3,3,43,9,4,3,White
5084,eZ3frSbm,2071,2276,D10,5,61,7,3,0,37,4,0,0,Black
5085,bw0WrlCD,2246,2145,B24,5,26,3,1,0,59,2,1,2,White
5086,8kIEMDUc,2225,2015,B24,8,58,3,1,2,99,8,0,2,White
5087,tJEDIeox,2219,2039,A20,2,26,5,2,1,46,9,2,2,White
5088,uel3uzYw,2214,2030,A20,2,39,1,2,2,90,2,2,4,White
5089,tqBiuJrL,2207,2039,A10,1,39,1,2,1,62,11,0,2,White
5090,TNZxa8E3,2202,2050,A15,2,24,2,0,1,56,7,2,1,White
5091,eeMAnZXV,2195,2050,A15,2,31,3,1,1,50,5,2,3,White
5092,4LixhejO,2081,2210,B00,2,22,3,0,0,59,3,1,2,White
5093,7Tva3wNB,2204,2029,A10,2,29,3,1,0,64,3,3,2,White
5094,liUxYcvu,1848,1889,C44,5,51,4,1,1,16,1,1,0,Black
5095,eHQ4Hqbk,1868,1915,C53,9,24,4,1,0,39,5,2,2,White
5096,wgqxdr6B,1805,1872,C50,6,41,5,2,2,27,5,2,1,Black
5097,rxdZtDwJ,1809,1732,C55,7,43,2,0,1,80,2,1,3,White
5098,OGvtBc3N,1586,1632,C20,3,87,5,2,4,53,0,2,2,Black
5099,LqQyu8tj,1631,1519,C40,4,80,7,3,6,65,8,3,5,Black
5100,mGhquzST,1450,1391,C00,3,105,2,0,3,68,3,1,3,Black
5101,SU05cS7z,1537,1512,D00,3,74,6,0,4,50,4,0,2,Black
5102,HK8Crc2s,1550,1540,A00,1,40,1,6,3,56,3,4,5,White
5103,ZydJCO5B,1634,1561,B12,7,67,6,0,4,103,3,1,6,White
5104,NUSmHi1X,1627,1586,B12,5,98,3,2,11,112,6,4,7,White
5105,DXViPx1s,1614,1589,B12,7,13,2,0,0,62,2,2,0,White
5106,h0oZsPrO,1982,1842,A05,4,23,0,1,1,49,5,1,1,White
5107,KQR4YBln,1393,1500,D32,6,55,2,3,1,17,0,1,1,Black
5108,dtfLKgv6,1899,1902,A48,4,63,3,1,1,32,3,0,1,Black
5109,YNGBnvFc,1883,1908,D38,8,18,2,0,0,33,1,0,1,White
5110,N52uw6p4,1902,1915,C02,7,48,4,1,3,64,8,1,5,White
5111,v8f2ZhmJ,1895,1916,B70,10,58,4,1,3,54,3,0,2,White
5112,iI2CI9iE,1888,1936,B90,11,86,2,4,4,108,5,1,5,White
5113,D1vFKC0D,1780,1907,B54,9,28,2,1,0,72,4,3,1,White
5114,4L1eQ55h,1638,1653,C47,8,60,1,2,1,114,2,1,1,White
5115,t2faI2Yi,1646,1658,C00,3,54,3,0,2,108,0,1,3,White
5116,kQFqL2jG,1564,1646,C25,4,18,1,0,0,107,3,0,1,White
5117,XWzWk646,1640,1665,C42,5,71,5,2,7,94,3,1,6,White
5118,4nPUmydS,1651,1655,C46,7,114,1,0,3,70,2,0,2,Black
5119,9nZKAHiL,1623,1645,C44,5,98,2,1,2,28,1,0,1,Black
5120,5NYicnqY,1639,1636,C42,5,9,1,0,0,102,0,2,1,White
5121,HJHVM1CC,1042,964,C01,9,55,3,1,1,11,1,0,0,Black
5122,x4DGXY1N,867,955,C49,8,76,4,1,2,22,0,0,1,Black
5123,3485eyjH,1499,956,B32,8,65,3,0,3,117,2,2,3,White
5124,xzfU2Zo8,957,1503,E90,9,69,2,2,2,42,1,4,0,Black
5125,H7xl2vVu,967,1018,C23,4,84,0,4,1,119,6,4,1,Black
5126,aYIDLRB4,968,1860,E60,6,26,5,0,0,35,2,0,1,Black
5127,wUGtV5Iq,1067,963,C57,8,91,1,1,1,13,0,0,0,Black
5128,4ylmREAO,1459,923,A40,4,41,4,0,0,90,5,1,1,White
5129,kwEBLQH5,1772,1343,B02,2,9,2,0,0,40,4,1,1,White
5130,LVD8hZrt,1505,1723,A21,3,43,3,1,3,18,3,1,0,Black
5131,7zir2W5c,1441,1471,A41,3,86,3,1,2,126,6,1,3,White
5132,az3TwkZa,1894,2010,B01,4,53,7,0,1,26,1,1,0,Black
5133,lFVJmF23,2084,2169,D10,5,56,0,0,4,61,1,1,4,Black
5134,zFXKWUAo,2067,2160,B02,4,57,2,1,1,7,0,0,0,Black
5135,a2xDVIwP,1596,1724,B20,3,50,1,0,4,30,3,0,3,Black
5136,oQnS9a1u,1917,1903,A40,2,137,2,2,5,99,2,2,4,Black
5137,l5Yl7sOC,1945,2093,C50,9,81,1,1,3,121,2,0,6,White
5138,qIXBdxAn,1776,1728,C68,7,30,1,1,1,56,3,0,2,White
5139,ZnEics7f,1156,1126,C00,3,246,3,4,9,275,1,4,8,White
5140,D79hUOjk,2035,2008,C37,7,95,2,3,7,63,2,3,4,Black
5141,Z7OoKpnb,2047,1975,C37,9,107,2,2,3,74,0,0,2,Black
5142,CZuUVb4c,1675,1696,C41,7,69,5,0,2,40,5,1,2,Black
5143,TiOiqdF6,1500,1495,D02,4,61,2,5,1,82,3,4,3,White
5144,FhVHkQCT,1490,1470,D02,4,11,0,0,0,61,5,0,1,White
5145,wfnivneo,1269,1485,C20,3,95,7,1,7,71,4,4,4,Black
5146,cLq5cmVn,1527,1525,E10,10,175,2,7,9,148,4,1,8,Black
5147,ZgqPuaa3,1516,1561,B00,2,49,1,3,2,81,6,3,3,White
5148,yJ8GDT8A,2198,2339,C14,13,42,5,0,2,79,3,2,5,White
5149,fW7LaVQY,2197,2189,E10,10,65,1,1,2,116,0,1,3,White
5150,jVZZX4gM,2207,2211,E12,7,61,5,6,3,43,3,2,5,Black
5151,2n4gaFcl,2182,2255,A45,2,42,3,1,1,65,2,1,3,White
5152,mgfC8K5e,1497,1597,B50,4,65,8,4,3,51,5,2,3,Black
5153,RLaXKRJj,1602,1603,C23,3,94,2,4,5,101,3,3,5,White
5154,7habywKE,1828,1749,A40,2,66,4,0,1,131,2,0,3,White
5155,enZd1S1I,1810,1831,A41,2,52,7,4,2,73,8,4,4,White
5156,7iJeW9AO,1795,1860,A40,2,60,4,0,2,101,4,1,4,White
5157,sdoJcYEW,1819,1851,C11,7,22,2,1,0,40,4,1,1,White
5158,4jLAcvUT,1570,1532,B34,9,36,4,2,0,50,1,4,1,White
5159,HzmCRDLA,1274,1330,A00,3,91,5,2,2,118,4,0,3,White
5160,CLKyhToZ,1877,1780,D01,5,12,0,0,0,87,1,1,1,White
5161,SmniEr1F,1870,1795,A22,4,62,5,0,3,93,7,4,3,White
5162,qp2vnOHL,1811,1897,A43,3,99,4,2,5,75,7,0,3,Black
5163,dGspyUAC,1867,1788,C20,4,104,8,3,6,78,4,3,5,Black
5164,7nDWEgON,1807,1846,A40,2,54,3,0,1,25,2,1,0,Black
5165,BrUpNXig,1891,1777,C44,8,67,7,0,1,35,5,0,0,Black
5166,ENS8zhvu,1746,1842,D20,6,46,3,0,3,71,7,3,3,White
5167,7Fs3lUKk,1702,2046,D10,5,45,4,2,1,76,6,1,2,White
5168,tGQa1WPN,1711,1982,A01,3,71,4,3,2,39,1,2,2,Black
5169,fffvebz7,1236,1803,B21,3,53,2,4,2,26,4,2,1,Black
5170,KzI77Vnw,1500,1517,B94,11,5,0,0,0,53,0,0,2,White
5171,zEMUyBzo,1631,1694,A00,1,69,5,1,2,100,5,1,3,White
5172,05s4MhQS,1401,1689,C40,3,4,0,0,0,41,4,0,1,White
5173,Z5D24hyN,1689,2006,D01,6,19,5,2,1,18,9,1,0,Black
5174,uYIjprup,1470,1573,C62,6,45,1,0,1,185,0,0,1,White
5175,XZi2fFaJ,1851,1795,D06,4,60,3,2,4,43,4,5,0,Black
5176,r5lbMjk8,1312,1373,A40,1,72,2,0,2,119,1,2,3,White
5177,AgDccdDl,929,1130,C20,3,89,7,2,1,42,1,2,1,Black
5178,ODoco8cg,1197,983,D00,8,95,3,0,3,137,1,3,3,White
5179,kabfruMm,989,1183,B00,2,92,5,2,1,45,1,1,1,Black
5180,JrkSYQgA,1205,1023,D00,3,116,5,3,7,139,4,3,7,White
5181,PyD5Pw06,1306,930,C41,4,54,4,3,3,79,5,4,3,White
5182,CJHAkQq9,1575,1928,B10,3,51,4,1,0,17,0,0,0,Black
5183,empwk0ZG,1830,1928,B30,4,7,2,0,0,5,0,0,0,Black
5184,D3I6S7ez,1986,1928,B10,2,64,2,1,1,17,2,0,0,Black
5185,S0CFA4iZ,1806,2020,B21,3,72,3,3,2,59,5,3,0,Black
5186,7iqIRqaB,1543,1808,B23,3,84,3,1,3,42,4,1,0,Black
5187,HTR9hpma,1655,1681,C65,8,85,6,0,6,66,4,0,5,Black
5188,jcLno21Q,1709,1677,B01,4,85,4,2,4,59,6,2,1,Black
5189,w1EmP4hA,1714,1720,C77,9,73,2,2,2,102,3,3,4,White
5190,02KICrrS,1708,1708,D05,6,43,3,2,2,22,2,0,2,Black
5191,LdQC78bq,1695,1730,C41,4,3,2,0,0,34,3,2,1,White
5192,LRj1nJbt,1640,1684,D35,6,68,1,0,2,18,1,1,0,Black
5193,W3kEKw5V,1523,1699,B87,14,53,12,2,1,31,5,1,0,Black
5194,ZXz9GOe2,1551,1505,C40,4,99,3,4,4,66,4,2,4,Black
5195,GE7DirlI,2236,2135,C45,7,39,5,2,3,22,4,3,1,Black
5196,ZlVC0Fpf,2223,2209,C45,7,61,1,2,4,74,4,3,6,White
5197,BN4GzbUt,1575,2209,B21,3,36,5,2,2,16,2,1,0,Black
5198,QYT3uWK4,2226,2116,B01,10,54,4,2,1,18,2,0,0,Black
5199,0uxw2UPf,2124,2216,C89,22,73,1,2,2,30,0,0,1,Black
5200,ldHyXK4e,2205,2114,C00,5,19,2,0,0,77,1,1,1,White
5201,7p1uXZu3,2247,2218,B47,10,21,1,1,0,27,0,2,0,White
5202,GqFqPKun,2120,2248,B96,13,16,1,1,0,62,2,2,1,White
5203,L4cWxhlG,1876,1825,B00,2,69,1,1,3,99,3,0,2,White
5204,6MOcIITO,2105,1841,C34,5,79,8,1,1,37,3,2,1,Black
5205,yOdl3kQn,1236,1189,B12,5,50,0,0,0,81,0,0,1,White
5206,6vW5Jx4t,1600,1614,C41,5,106,4,0,3,78,2,1,4,Black
5207,JQn7gBWU,1165,1169,C47,7,38,1,1,0,140,2,2,1,White
5208,gNnAaKj0,1839,1718,C41,8,19,2,0,0,51,5,0,2,White
5209,V3Xq1YjP,1500,1517,B90,11,24,3,1,0,60,2,1,3,White
5210,J2NxPhe9,1789,1913,B10,2,60,3,1,4,88,4,1,5,White
5211,fZXjn7kg,1819,1625,E70,8,72,5,2,3,42,0,1,2,Black
5212,4v2sjgCi,1941,1578,C69,10,39,0,1,1,8,0,0,0,Draw
5213,LETn95e4,1726,1556,C68,7,39,4,0,1,11,1,0,0,Black
5214,dUHneP1h,1789,2196,B12,7,63,1,1,5,92,2,3,5,White
5215,jY5XcLTx,1475,1476,C51,10,77,5,1,6,111,2,3,6,White
5216,vVULEU6S,1814,1835,C50,6,102,3,1,4,70,6,1,2,Black
5217,YXqTMoeW,1814,1785,C50,8,69,2,2,1,144,1,1,1,White
5218,7igm5r0A,1520,1428,C23,4,68,4,1,1,99,1,1,2,White
5219,7IxrVT1g,1446,1533,D06,4,86,7,7,5,105,9,6,8,White
5220,DU5FFPtu,1568,1554,D00,3,53,6,2,3,34,7,2,1,Black
5221,zczBd8no,1603,1569,A16,3,66,9,1,2,96,5,2,3,White
5222,XAG0MG8v,1793,1782,B01,2,79,2,4,1,53,6,1,3,Black
5223,QJSV3XkD,1081,1119,A00,1,85,3,1,1,25,3,1,0,Black
5224,WLqm3QbL,1625,1567,A40,2,88,4,1,3,122,6,4,3,White
5225,d6Drrejd,1744,1704,B20,2,30,3,0,0,48,4,0,2,Draw
5226,e8ayz1y2,1756,1750,C50,6,68,0,0,2,31,2,1,1,Black
5227,4RSR27Wf,1745,1733,B02,5,42,4,1,0,77,5,3,1,White
5228,lGk4wnrw,1719,1734,C50,6,45,1,1,1,24,0,2,0,Black
5229,Y7QwJoRv,1743,1813,B30,4,46,3,0,2,30,2,1,0,Black
5230,iQW3aRC1,1798,1998,D10,5,53,0,0,2,22,0,0,0,Black
5231,nXCD7ePz,1615,1803,C50,6,21,2,0,2,44,4,1,2,White
5232,bu1Tf5Ps,1603,1661,B00,5,34,7,0,0,50,6,1,1,White
5233,Rwk4zjpU,1446,1521,C50,5,66,2,0,2,43,5,1,1,Black
5234,GNEtHkXt,1442,1739,C51,10,60,5,1,3,36,2,1,2,Black
5235,XsHDvcnv,1454,1368,C41,5,23,6,4,0,23,8,1,1,Draw
5236,uI9xMLt7,1459,1692,C00,3,74,2,2,1,28,0,0,0,Black
5237,92ZB4xbC,1431,1423,C41,5,42,7,1,1,72,7,2,3,White
5238,0fyLOaKy,1418,1438,C41,5,102,0,2,3,84,3,0,3,White
5239,F0zzRzxR,2065,2193,C60,6,22,2,1,0,49,2,4,0,White
5240,MH3Zs3ru,2188,1911,B30,4,37,7,1,0,54,7,3,1,White
5241,xvGEetQk,2209,1886,C32,9,52,9,0,1,74,8,3,2,White
5242,6PpHcU9I,2198,1961,C33,8,25,2,1,0,100,1,1,2,White
5243,eP4G6LXd,1879,2081,D11,8,26,0,0,1,45,4,4,1,White
5244,LZDxjseX,1556,1466,C66,8,58,1,1,2,97,1,0,2,White
5245,rSyoDSoB,1518,1518,B10,3,97,6,3,12,113,6,6,10,White
5246,aEexQuYY,2033,1815,D37,7,66,6,0,3,31,1,1,2,Black
5247,l7CuRZ3w,2053,2094,A58,17,66,3,1,4,42,3,1,2,Black
5248,3Cpze9JF,2221,2395,A15,2,49,10,1,1,28,7,0,1,Black
5249,5Pum4th4,1778,1500,C23,3,48,8,0,2,50,6,0,1,White
5250,cWUJjA8g,1720,1898,C41,6,76,2,1,2,58,2,1,2,Black
5251,U9rISFOP,1522,1627,E70,7,7,0,0,0,48,2,0,1,White
5252,6iKArgSD,1685,1786,C41,4,37,2,0,2,59,3,1,3,White
5253,NacWf00N,1792,1766,C23,5,52,4,0,2,16,1,0,0,Black
5254,bULxRvp4,1805,1753,C23,5,51,3,0,1,12,2,0,0,Black
5255,2NMhyYKD,2005,1518,E90,9,26,2,1,0,54,5,1,1,White
5256,3mPLtIaZ,1711,1701,D00,3,184,9,2,15,184,9,1,16,Black
5257,zRv6CMNK,1681,1704,D31,6,37,4,0,2,65,5,3,3,White
5258,4LrZA4Le,1697,1676,D02,3,80,4,0,1,58,3,1,1,Draw
5259,HL2FXoHG,1365,1518,B06,2,70,2,0,5,92,3,1,4,White
5260,qzId3Gwk,1515,1578,C46,7,14,0,1,0,80,0,2,1,White
5261,iAuLmdbY,2039,1838,D13,8,26,8,3,1,40,8,2,2,White
5262,TXceLrqq,1567,1573,B50,4,60,5,2,1,84,5,3,2,White
5263,oz5zN7Lu,1530,1554,C23,3,66,5,0,6,55,5,3,3,Black
5264,cR68lEZj,1539,1556,C42,4,51,5,3,5,66,11,3,4,White
5265,xAmerw0n,1568,1553,C41,7,71,5,1,3,95,5,2,5,White
5266,y6rYUCGB,1553,1138,C40,3,39,3,2,0,75,8,1,1,White
5267,Boki4oXx,1469,1540,C41,6,73,4,2,1,30,4,0,0,Black
5268,M85SkFne,1821,2236,B30,4,52,1,0,1,14,0,0,0,Black
5269,wRhEfHch,2225,2015,E59,19,15,2,0,0,52,4,1,2,White
5270,XrpvhBxq,1843,2220,A46,5,64,3,2,1,13,1,0,0,Black
5271,hNKjWQD6,1936,2236,C17,9,53,3,0,1,11,1,0,0,Black
5272,Bb2Tgc8u,2209,2030,A04,2,8,0,0,0,22,2,0,0,White
5273,vNjGjxIh,1428,1368,C41,4,60,3,3,3,96,2,2,6,White
5274,Stri6407,1419,1336,C00,3,18,5,1,2,33,11,0,3,White
5275,terBPTaD,1124,1438,C45,7,46,6,1,4,60,6,5,3,White
5276,rcXVVe0E,1980,1883,A04,2,56,4,1,2,33,3,3,0,Black
5277,YYmSNiQl,1975,1895,C00,4,68,2,3,2,101,5,1,3,White
5278,vVf6sKa7,2008,2140,D10,5,16,3,0,0,36,2,2,1,White
5279,0vxMVoYu,1676,2064,B01,11,19,4,0,0,45,4,3,0,White
5280,rJaplB8I,1562,1395,B10,2,42,5,0,1,18,4,0,1,Black
5281,oJXfhHTc,1733,1584,A40,2,25,1,1,0,68,5,1,1,White
