White Rating,Black Rating,accdiff,misdiff,blundiff,Winner
2464,2306,4,1,0,Black
2249,2303,-1,1,2,Black
2308,2377,0,0,0,Black
1787,1865,-1,1,-1,White
2225,1795,-2,0,-2,White
2224,1787,-1,5,-2,White
2220,1803,-1,0,-2,White
1727,2221,-2,0,-3,White
972,893,-3,-1,2,Black
2017,1972,2,-1,-3,White
2199,1979,-3,4,-2,White
2043,1984,-1,0,-1,White
1564,1791,0,-1,1,Black
1426,1397,-2,-1,1,Black
1395,1725,0,-1,-3,Black
2073,1919,1,0,1,Draw
1945,2101,-2,-2,-2,White
2130,1972,0,0,4,Black
1515,1429,-3,0,3,Black
1525,1534,0,-1,-1,White
1744,1749,-3,2,1,Black
1824,1809,-1,-1,-1,White
2152,2198,1,-2,0,White
2232,2214,-4,-1,0,White
2418,2219,-1,1,-1,White
2224,2410,3,0,1,Black
2008,2219,2,2,0,Black
2218,2064,4,-2,0,Draw
2068,2212,0,1,0,Black
2205,2103,0,1,-2,White
1457,1279,1,-2,0,White
1506,1435,1,1,1,Black
1614,1619,4,2,0,Black
2025,1614,0,0,1,Black
1614,2025,-5,0,0,White
1614,2052,-4,-1,0,White
1614,2012,-2,-1,0,White
834,1484,1,1,1,Black
2064,2090,0,1,1,Black
2083,2113,-1,-1,0,White
2077,2071,0,0,-2,White
2065,2132,0,1,-1,White
2029,2077,3,-2,-1,White
1671,1668,-1,0,1,Black
1561,1618,3,-1,1,Black
1528,1589,-6,-1,0,White
1648,1714,-2,-1,-1,White
1442,1500,1,0,-2,Black
1130,1407,1,0,1,Black
1161,1510,5,1,1,Black
1257,1222,0,-1,3,Black
1273,1330,-2,0,-1,Black
1383,1509,-3,1,-1,Black
1415,1394,0,-2,-1,White
1404,1394,-5,0,-1,White
1414,1423,2,-1,-1,White
1622,1698,0,-2,0,White
1744,1668,2,-2,1,Black
1659,1690,0,0,-2,White
1664,1658,0,3,-3,White
1656,1363,0,-2,-2,White
1766,1741,-6,-1,0,White
2142,2216,0,-3,0,White
2006,2133,1,0,1,Black
1898,1945,0,-4,2,Black
1939,1944,-1,-1,-1,White
1851,1947,3,3,0,Black
1952,2039,1,1,1,Black
1946,1941,-1,0,-1,White
1947,1990,3,0,-2,White
2220,2029,-1,-1,-1,Black
1371,1350,2,0,-1,White
1367,1293,-2,1,-3,White
1921,1828,4,0,1,Black
1706,1660,-4,0,0,White
1693,1692,1,0,1,Black
1983,2039,3,1,-4,White
1794,1676,-1,-1,-1,White
1804,1737,2,0,1,Black
2081,2210,-2,2,1,Black
2255,2292,6,0,1,Black
1248,1342,0,2,-1,Black
1424,1441,-1,0,1,Black
1460,1662,-4,-1,-1,White
1893,1877,2,0,1,Black
1981,1875,-7,-2,1,White
1883,1945,5,-1,1,Black
1149,1796,0,1,2,Black
1163,1292,2,0,-1,White
1308,1144,-1,0,1,Black
1716,1668,0,1,1,Black
1739,1727,-2,0,-2,White
2050,1741,-5,1,0,White
1880,1603,-1,0,-1,White
1875,1662,1,1,2,Black
1729,1769,-3,1,0,White
2068,1932,1,-1,-1,White
1442,1403,-2,-2,2,White
1342,1267,1,-3,-2,White
1262,1322,2,-1,2,Black
1345,1357,-2,1,-1,Black
1480,1362,0,0,-2,White
1363,1332,-5,2,1,Black
1305,1269,-5,0,-1,White
1274,1254,0,1,-1,White
2145,2251,-2,0,1,Draw
2185,2235,2,1,2,Black
2065,2254,2,-2,-1,White
2242,2268,-5,1,-1,White
1230,1149,-2,0,-1,Black
1491,1500,-1,2,-1,Black
1511,1514,3,-1,-2,White
1320,1220,0,-3,-1,White
1373,1398,0,1,0,Black
1380,1298,-1,0,0,White
1456,1402,0,-3,0,White
1323,1494,-1,2,1,Black
1516,1706,-2,2,-4,White
1815,1646,-1,-1,0,Black
2126,1812,0,2,1,Black
1522,1583,1,-2,2,Black
1564,1506,-2,-1,-1,White
1587,1579,-1,1,0,Black
1206,1581,-5,2,2,Black
1558,1697,-1,1,0,Black
1430,1585,-1,1,-1,White
1566,1620,-1,0,0,White
1548,1552,-2,1,-1,White
1565,1554,-4,1,2,Black
1938,1955,0,0,0,White
1463,1480,-1,1,1,Black
1367,1367,1,-1,-1,White
999,816,-1,0,-1,White
2180,2143,-1,1,-3,White
2003,2163,3,0,1,Black
2147,2266,1,-1,-2,White
2145,2148,1,-4,0,White
2122,2135,4,2,0,Black
2120,2166,1,1,1,White
2288,2128,-2,0,-2,White
1854,1849,-3,1,-2,White
1847,1859,0,-1,-2,White
1391,1277,2,-1,1,Black
1107,1090,9,-1,0,Black
981,1125,-2,0,-3,White
1019,1057,1,1,0,Black
1124,1130,0,0,-2,White
1152,1323,3,0,0,Black
1979,1585,0,1,-1,White
1962,1961,1,-1,0,White
1893,1946,3,0,1,Black
1952,1948,3,1,-1,Black
1959,1864,2,2,0,Black
1158,1137,1,-2,-1,White
1940,1995,-1,1,1,Black
1972,2313,-1,-1,-1,White
1970,1463,-3,-2,0,White
2037,1994,1,-1,1,Black
1978,1906,-2,-1,-1,White
1679,2293,2,0,2,Black
1972,2286,2,1,1,Black
2283,1769,-3,0,-1,White
2277,1878,-3,0,-1,White
1881,2272,3,3,0,Black
1933,1963,1,2,2,Black
1773,1917,3,2,1,Black
1756,1950,2,3,-2,White
2209,1942,1,-2,-1,White
1923,1916,-2,-2,-1,White
1946,1899,1,0,1,Black
1910,1875,0,-1,2,Black
1832,1854,0,1,1,Black
1858,2260,0,0,1,Black
1829,1885,-3,-1,-1,White
2092,1980,2,-3,-3,White
2075,2189,3,1,0,Black
1940,2085,0,-3,0,White
1475,1472,-1,-1,0,White
1300,1492,1,1,-1,White
1492,1512,-1,-1,-1,Draw
1480,1502,0,0,0,White
1496,1318,2,2,1,Black
1342,1490,-5,2,-3,Black
1499,1478,-1,1,2,Black
1485,1466,-3,4,1,Black
1476,1491,-3,-1,2,Black
1463,1489,3,-3,-1,White
